elapsed_s,cpu_user_pct,cpu_system_pct,cpu_total_pct,rss_mb,words_total,speaking_duration_s,avg_wpm,rms_avg,thermal_state,marker
2110.0,0.00,0.00,0.00,30.6,52294,2108.3,311.6,0.015492,0,
2120.0,106.63,19.94,126.58,30.7,55110,2119.8,218.1,0.015141,0,
2130.0,0.00,0.00,0.00,30.8,55751,2127.6,344.8,0.014715,0,
2140.0,0.00,0.00,0.00,30.9,55993,2139.1,287.5,0.013794,0,
2150.0,0.00,0.00,0.00,30.9,56211,2146.8,279.2,0.014680,0,
2160.0,0.00,0.00,0.00,30.9,56657,2158.3,401.2,0.016004,0,
2170.0,0.00,0.00,0.00,30.9,57340,2169.7,613.1,0.020393,0,
2180.0,17.15,2.98,20.13,31.4,57728,2177.4,429.1,0.022889,0,
2190.0,0.00,0.00,0.00,31.4,58201,2189.0,416.5,0.015364,0,
2200.0,0.00,0.00,0.00,31.1,58974,2196.6,291.6,0.016412,0,
2210.0,0.00,0.00,0.00,31.2,60051,2208.2,589.2,0.015252,0,
2220.0,4.54,0.69,5.23,31.2,60312,2219.7,621.7,0.016657,0,
2230.0,15.79,2.68,18.46,31.2,60439,2227.3,440.7,0.024399,0,
2240.0,0.00,0.00,0.00,31.2,60847,2238.8,308.5,0.017518,0,
2250.0,0.00,0.00,0.00,31.2,60964,2246.6,258.2,0.012345,0,
2260.0,0.00,0.00,0.00,31.2,61189,2258.0,180.7,0.013558,0,
2270.0,11.06,2.04,13.10,31.0,61420,2269.6,165.2,0.013443,0,
2280.0,0.00,0.00,0.00,31.1,61512,2277.3,214.9,0.016417,0,
2290.0,0.00,0.00,0.00,31.2,61646,2288.9,301.2,0.016706,0,
2300.0,28.85,5.65,34.49,31.0,61684,2296.4,210.9,0.014253,0,
2310.0,0.00,0.00,0.00,30.1,61763,2308.0,278.7,0.016994,0,
2320.0,0.00,0.00,0.00,30.1,62078,2319.7,299.7,0.014710,0,
2330.0,0.00,0.00,0.00,30.0,62191,2327.2,272.0,0.016437,0,
2340.0,17.68,3.36,21.03,30.0,62369,2338.9,216.2,0.016300,0,
2350.0,0.00,0.00,0.00,30.0,62580,2346.4,151.3,0.015207,0,
2360.0,0.58,0.13,0.71,29.9,63175,2358.1,247.3,0.016142,0,
2370.0,0.00,0.00,0.00,29.9,63408,2369.4,223.4,0.014782,0,
2380.0,0.00,0.00,0.00,29.8,63541,2377.2,156.4,0.010719,0,
2390.0,0.00,0.00,0.00,29.9,63763,2388.7,391.8,0.015641,0,
2400.0,0.00,0.00,0.00,30.0,64615,2396.3,274.3,0.013581,0,
2410.0,11.13,2.27,13.40,29.9,65098,2407.9,229.4,0.014258,0,
2420.0,0.00,0.00,0.00,29.9,65246,2419.4,281.4,0.014507,0,
2430.0,0.00,0.00,0.00,29.9,65470,2427.0,197.0,0.018785,0,
2440.0,0.00,0.00,0.00,29.9,65901,2438.5,137.9,0.015956,0,
2450.0,3.87,0.53,4.40,29.9,66473,2446.4,96.5,0.017738,0,
2460.0,0.00,0.00,0.00,30.1,66919,2457.7,67.6,0.018065,0,
2470.0,0.00,0.00,0.00,30.2,67627,2469.2,151.3,0.019373,0,
2480.0,0.00,0.00,0.00,30.2,68165,2476.9,105.9,0.024386,0,
2490.0,0.00,0.00,0.00,30.3,69025,2488.4,74.1,0.020332,0,
2500.0,0.00,0.00,0.00,30.3,69609,2496.1,51.9,0.019237,0,
2510.0,0.00,0.00,0.00,30.3,71340,2507.6,36.3,0.020319,0,
2520.0,5.31,0.97,6.29,30.5,74581,2519.2,25.4,0.016159,0,
2530.0,0.00,0.00,0.00,30.5,74969,2526.8,17.8,0.016591,0,
2540.0,27.99,5.25,33.24,30.5,75377,2538.4,238.2,0.023579,0,
2550.0,0.00,0.00,0.00,30.0,75783,2549.9,166.8,0.013772,0,
2560.0,0.00,0.00,0.00,30.0,76162,2557.7,318.7,0.016368,0,
2570.0,0.00,0.00,0.00,30.1,76873,2569.1,223.1,0.016195,0,
2580.0,0.00,0.00,0.00,29.2,77238,2576.9,156.1,0.014817,0,
2590.0,24.77,3.87,28.64,28.8,77738,2588.3,395.5,0.019193,0,
2600.0,0.00,0.00,0.00,28.9,77895,2599.8,488.7,0.013029,0,
2610.0,0.00,0.00,0.00,29.0,77963,2607.6,438.0,0.015471,0,
2620.0,3.76,0.50,4.26,29.0,78107,2619.0,350.2,0.015004,0,
2630.0,0.00,0.00,0.00,29.0,78143,2626.7,251.8,0.017015,0,
2640.0,0.00,0.00,0.00,29.0,78387,2638.3,251.7,0.018397,0,
2650.0,0.00,0.00,0.00,29.1,78561,2649.7,447.1,0.019440,0,
2660.0,7.26,1.14,8.40,29.0,78676,2657.4,329.0,0.018081,0,
2670.0,0.00,0.00,0.00,29.2,79041,2668.9,230.3,0.016756,0,
2680.0,29.14,4.87,34.01,29.1,79676,2676.6,161.2,0.014600,0,
2690.0,0.00,0.00,0.00,29.2,80414,2688.1,156.9,0.017649,0,
2700.0,0.00,0.00,0.00,29.3,81263,2699.8,260.1,0.019434,0,
2710.0,0.00,0.00,0.00,29.4,81463,2707.4,399.9,0.016212,0,
2720.0,0.00,0.00,0.00,29.4,81795,2718.9,365.3,0.014560,0,
2730.0,4.50,0.66,5.16,29.4,82100,2726.5,255.7,0.017795,0,
2740.0,0.00,0.00,0.00,29.5,83297,2738.1,369.3,0.018103,0,
2750.0,0.00,0.00,0.00,29.6,83737,2749.6,497.0,0.019103,0,
2760.0,0.00,0.00,0.00,29.6,84184,2757.2,347.9,0.025633,0,
2770.0,0.00,0.00,0.00,29.7,84787,2768.9,346.8,0.030904,0,
2780.0,0.00,0.00,0.00,29.8,85053,2776.4,574.7,0.018601,0,
2790.0,0.00,0.00,0.00,29.8,85331,2788.1,495.0,0.016995,0,
2800.0,0.00,0.00,0.00,29.8,85781,2799.5,725.2,0.017159,0,
2810.0,0.00,0.00,0.00,29.8,85930,2807.2,507.7,0.017873,0,
2820.0,0.00,0.00,0.00,29.9,86534,2818.7,661.0,0.016318,0,
2830.0,0.00,0.00,0.00,29.9,86746,2826.4,577.2,0.017254,0,
2840.0,0.00,0.00,0.00,29.9,87446,2837.9,839.9,0.015316,0,
2850.0,18.29,2.73,21.03,29.9,88047,2849.4,588.0,0.016416,0,
2860.0,0.00,0.00,0.00,27.6,88444,2857.3,555.7,0.016116,0,
2870.0,0.00,0.00,0.00,29.6,89054,2868.7,500.3,0.015996,0,
2880.0,0.00,0.00,0.00,29.8,89151,2876.3,350.2,0.017426,0,
2890.0,0.00,0.00,0.00,29.8,89429,2887.8,245.1,0.022333,0,
2900.0,0.00,0.00,0.00,29.8,89684,2899.3,188.6,0.016957,0,
2910.0,29.44,4.14,33.58,29.8,89826,2907.0,132.0,0.018410,0,
2920.0,0.00,0.00,0.00,29.9,90987,2918.5,92.4,0.016894,0,
2930.0,0.00,0.00,0.00,30.0,91492,2926.3,174.7,0.017652,0,
2940.0,20.39,3.16,23.55,27.8,92431,2937.9,401.7,0.016834,0,
2950.0,0.00,0.00,0.00,28.9,92845,2949.3,335.9,0.016229,0,
2960.0,0.00,0.00,0.00,29.6,93503,2956.9,235.1,0.016803,0,
2970.0,15.35,2.47,17.82,29.7,94707,2968.4,164.6,0.016752,0,
2980.0,0.00,0.00,0.00,29.8,95110,2976.2,115.2,0.015752,0,
